y_field,appl_current,meas_voltage_K2,dV_dI
0.00285,-3e-06,-8.009246e-05,37.29883333333311
0.00285,-2.94e-06,-7.785453e-05,38.142000000000166
0.00285,-2.88e-06,-7.551542e-05,40.53625000000011
0.00285,-2.82e-06,-7.299018e-05,41.70908333333318
0.00285,-2.76e-06,-7.051033e-05,40.86958333333337
0.00285,-2.7e-06,-6.808583e-05,40.740250000000174
0.00285,-2.64e-06,-6.56215e-05,39.1966666666666
0.00285,-2.58e-06,-6.338223e-05,36.21916666666675
0.00285,-2.52e-06,-6.12752e-05,36.097083333333444
0.00285,-2.46e-06,-5.905058e-05,36.74416666666656
0.00285,-2.4e-06,-5.68659e-05,38.638166666666734
0.00285,-2.34e-06,-5.4414e-05,41.88725000000011
0.00285,-2.28e-06,-5.183943e-05,41.125749999999925
0.00285,-2.22e-06,-4.947891e-05,43.848833333333346
0.00285,-2.16e-06,-4.657757e-05,48.3550833333332
0.00285,-2.1e-06,-4.36763e-05,48.545249999999896
0.00285,-2.04e-06,-4.075214e-05,50.14025000000015
0.00285,-1.98e-06,-3.765947e-05,49.96524999999997
0.00285,-1.92e-06,-3.475631e-05,48.57041666666663
0.00285,-1.86e-06,-3.183102e-05,49.63775000000004
0.00285,-1.8e-06,-2.879978e-05,50.20641666666671
0.00285,-1.74e-06,-2.580625e-05,48.39025000000004
0.00285,-1.68e-06,-2.299295e-05,45.71783333333329
0.00285,-1.62e-06,-2.032011e-05,41.99025000000006
0.00285,-1.56e-06,-1.795412e-05,36.130833333333385
0.00285,-1.5e-06,-1.598441e-05,30.423833333333306
0.00285,-1.44e-06,-1.430326e-05,135.6823533333332
0.00285,-1.38e-06,2.974724e-07,121.766390833333
0.00285,-1.32e-06,3.087069e-07,0.20735666666666663
0.00285,-1.26e-06,3.223552e-07,0.20897000000000032
0.00285,-1.2e-06,3.337833e-07,0.2011475000000007
0.00285,-1.14e-06,3.464929e-07,-0.03439333333333261
0.00285,-1.08e-06,3.296561e-07,-0.1178325
0.00285,-1.02e-06,3.32353e-07,-0.24089999999999945
0.00285,-9.6e-07,3.007481e-07,-0.0711658333333327
0.00285,-9e-07,3.238131e-07,0.14825333333333335
