y_field,Ic
-3e-05,0.000125
-2.95e-05,0.0001215
-2.9e-05,0.0001175
-2.85e-05,0.0001185
-2.8e-05,0.0001225
-2.75e-05,0.000122
-2.7e-05,0.000125
-2.65e-05,0.000125
-2.6e-05,0.000126
-2.55e-05,0.000124
-2.5e-05,0.000124
-2.45e-05,0.000122
-2.4e-05,0.0001205
-2.35e-05,0.00012
-2.3e-05,0.0001185
-2.25e-05,0.000119
-2.2e-05,0.00012
-2.15e-05,0.0001225
-2.1e-05,0.000124
-2.05e-05,0.0001245
-2e-05,0.0001255
-1.95e-05,0.000125
-1.9e-05,0.000123
-1.85e-05,0.000123
-1.8e-05,0.000121
-1.75e-05,0.0001165
-1.7e-05,0.0001175
-1.65e-05,0.000119
-1.6e-05,0.000121
-1.55e-05,0.000121
-1.5e-05,0.000123
-1.45e-05,0.0001245
-1.4e-05,0.0001245
-1.35e-05,0.000124
-1.3e-05,0.000124
-1.25e-05,0.0001215
-1.2e-05,0.00012
-1.15e-05,0.0001165
-1.1e-05,0.0001165
-1.05e-05,0.000118
-1e-05,0.0001195
-9.5e-06,0.0001205
-9e-06,0.000124
-8.5e-06,0.0001245
-8e-06,0.0001245
-7.5e-06,0.0001245
-7e-06,0.0001235
-6.5e-06,0.000122
-6e-06,0.0001195
-5.5e-06,0.00012
-5e-06,0.0001165
-4.5e-06,0.000118
-4e-06,0.0001195
-3.5e-06,0.000121
-3e-06,0.000122
-2.5e-06,0.0001245
-2e-06,0.000125
-1.5e-06,0.000125
-1e-06,0.0001245
-5.00000000000002e-07,0.000123
-3.3881317890172002e-21,0.0001215
4.99999999999999e-07,0.00012
1e-06,0.0001195
1.5e-06,0.000117
2e-06,0.0001195
2.5e-06,0.00012
2.99999999999999e-06,0.0001225
3.5e-06,0.000124
4e-06,0.0001245
4.5e-06,0.000125
5e-06,0.0001245
5.49999999999999e-06,0.0001225
6e-06,0.0001215
6.5e-06,0.00012
7e-06,0.000119
7.5e-06,0.000116
7.99999999999999e-06,0.0001185
8.5e-06,0.000119
9e-06,0.0001215
9.5e-06,0.000124
1e-05,0.0001245
1.05e-05,0.0001245
1.1e-05,0.000123
1.15e-05,0.000121
1.2e-05,0.0001215
1.25e-05,0.00012
1.3e-05,0.0001185
1.35e-05,0.000118
1.4e-05,0.0001185
1.45e-05,0.0001205
1.5e-05,0.000121
1.55e-05,0.000123
1.6e-05,0.000124
1.65e-05,0.0001245
1.7e-05,0.0001235
1.75e-05,0.0001215
1.8e-05,0.00012
1.85e-05,0.0001195
1.9e-05,0.0001185
1.95e-05,0.000116
2e-05,0.0001185
2.05e-05,0.0001185
2.1e-05,0.0001225
2.15e-05,0.0001225
2.2e-05,0.0001245
2.25e-05,0.000124
2.3e-05,0.0001225
2.35e-05,0.0001225
2.4e-05,0.00012
2.45e-05,0.00012
2.5e-05,0.0001195
2.55e-05,0.000118
2.6e-05,0.0001185
2.65e-05,0.00012
2.7e-05,0.0001215
2.75e-05,0.000123
2.8e-05,0.000123
2.85e-05,0.0001245
2.9e-05,0.000124
2.95e-05,0.0001225
3e-05,0.000121
