y_field,Ic
-0.0075,1.75e-06
-0.0074,1.5e-06
-0.0073,1.5e-06
-0.0072,1.5e-06
-0.0071,1.25e-06
-0.007,1e-06
-0.0069,1e-06
-0.0068,1e-06
-0.0067,7.5e-07
-0.0066,1e-06
-0.0065,1.25e-06
-0.0064,1.25e-06
-0.0063,1.75e-06
-0.0062,1.75e-06
-0.0061,1.75e-06
-0.006,2.5e-06
-0.0059,3e-06
-0.0058,2.5e-06
-0.0057,2.25e-06
-0.0056,3e-06
-0.0055,2.5e-06
-0.0054,2.75e-06
-0.0053,2.75e-06
-0.0052,3e-06
-0.0051,1.75e-06
-0.005,2e-06
-0.0049,2.5e-06
-0.0048,1.75e-06
-0.0047,2e-06
-0.0046,1.75e-06
-0.0045,1.75e-06
-0.0044,1.75e-06
-0.0043,2e-06
-0.0042,2e-06
-0.0041,2.5e-06
-0.004,2.25e-06
-0.0039,3e-06
-0.0038,4.75e-06
-0.0037,6e-06
-0.0036,3.5e-06
-0.0035,5.75e-06
-0.0034,6.25e-06
-0.0033,2.75e-06
-0.0032,6e-06
-0.0031,6.25e-06
-0.003,5e-06
-0.0029,5.75e-06
-0.0028,3.25e-06
-0.0027,3.75e-06
-0.0026,3.5e-06
-0.0025,2.5e-06
-0.0024,3.25e-06
-0.0023,3.5e-06
-0.0022,3e-06
-0.0021,4e-06
-0.002,4.25e-06
-0.0019,5.25e-06
-0.0018,2.25e-06
-0.0017,1.025e-05
-0.0016,1.075e-05
-0.0015,1.125e-05
-0.0014,1.675e-05
-0.0013,1.925e-05
-0.0012,2.025e-05
-0.0011,2.4e-05
-0.001,2.45e-05
-0.0009,2.825e-05
-0.0008,3.075e-05
-0.0007,3.1e-05
-0.0006,3.125e-05
-0.0005,3.4e-05
-0.0004,3.375e-05
-0.0003,3.4e-05
-0.0002,3.425e-05
-0.0001,3.4e-05
0.0,3.15e-05
9.99999999999994e-05,3.25e-05
0.0002,3.025e-05
0.0003,3.1e-05
0.0003999999999999,2.925e-05
0.0005,2.675e-05
0.0006,2.5e-05
0.0006999999999999,2.325e-05
0.0008,2.2e-05
0.0009,1.475e-05
0.0009999999999999,1.4e-05
0.0011,1.3e-05
0.0012,1.1e-05
0.0013,1e-05
0.0014,1.075e-05
0.0015,8.25e-06
0.0016,8e-06
0.0017,2.25e-06
0.0018,4.5e-06
0.0019,4.25e-06
0.002,3.5e-06
0.0021,3.5e-06
0.0022,3.25e-06
0.0023,4.5e-06
0.0024,5.75e-06
0.0025,6.5e-06
0.0026,5.75e-06
0.0027,6e-06
0.0028,4.5e-06
0.0029,7e-06
0.003,6.75e-06
0.0031,6.5e-06
0.0032,3.75e-06
0.0033,4e-06
0.0034,3e-06
0.0035,4e-06
0.0036,4e-06
0.0037,2.5e-06
0.0038,1.25e-06
0.0039,2.5e-06
0.004,2.25e-06
0.0041,1.75e-06
0.0042,1.75e-06
0.0043,1.5e-06
0.0044,2e-06
0.0045,2.25e-06
0.0046,2.25e-06
0.0047,2.5e-06
0.0048,3.5e-06
0.0049,2.5e-06
0.005,3.25e-06
0.0051,2e-06
0.0052,2.25e-06
0.0053,3.5e-06
0.0054,2.25e-06
0.0055,2.5e-06
0.0056,1.75e-06
0.0057,2.5e-06
0.0058,1.25e-06
0.0059,1.75e-06
0.006,1.5e-06
0.0061,1.5e-06
0.0062,1.25e-06
0.0063,1e-06
0.0064,1e-06
0.0065,7.5e-07
0.0066,1e-06
0.0067,1.25e-06
0.0068,1.25e-06
0.0069,1.5e-06
0.007,1.5e-06
0.0071,1.5e-06
0.0072,1.5e-06
0.0073,1.5e-06
0.0074,1.25e-06
0.0075,1.5e-06
