y_field,Ic
-0.005,0.000245
-0.0049,0.000245
-0.0048,0.000245
-0.0047,0.000245
-0.0046,0.000245
-0.0045,0.000245
-0.0044,0.000245
-0.0043,0.000245
-0.0042,0.000245
-0.0041,0.000245
-0.004,0.000245
-0.0039,0.000245
-0.0038,0.000245
-0.0037,0.000245
-0.0036,0.000245
-0.0035,0.000245
-0.0034,0.000245
-0.0033,0.000245
-0.0032,0.000245
-0.0031,0.000245
-0.003,0.000245
-0.0029,0.000245
-0.0028,0.000245
-0.0027,0.000245
-0.0026,0.000245
-0.0025,0.000245
-0.0024,0.000245
-0.0023,0.000245
-0.0022,0.000245
-0.0021,0.000245
-0.002,0.000245
-0.0019,0.000245
-0.0018,0.000245
-0.0017,0.00025
-0.0016,0.00025
-0.0015,0.00025
-0.0014,0.00025
-0.0013,0.00025
-0.0012,0.00025
-0.0011,0.00025
-0.001,5e-05
-0.0009,5.5e-05
-0.0008,6e-05
-0.0007,6.5e-05
-0.0006,6.5e-05
-0.0005,7e-05
-0.0004,7e-05
-0.0003,8e-05
-0.0002,7e-05
-0.0001,8e-05
0.0,8.5e-05
0.0001,7.5e-05
0.0002,7.5e-05
0.0003,8e-05
0.0004,8.5e-05
0.0005,8e-05
0.0006,7.5e-05
0.0007,7.5e-05
0.0007999999999999,7e-05
0.0009,6.5e-05
0.001,6.5e-05
0.0011,6.5e-05
0.0012,5e-05
0.0013,4.5e-05
0.0014,5e-05
0.0015,4.5e-05
0.0016,4e-05
0.0017,3e-05
0.0018,2.5e-05
0.0019,2.5e-05
0.002,2e-05
0.0021,2e-05
0.0022,1.5e-05
0.0023,0.000205
0.0024,1e-05
0.0025,1e-05
0.0026,0.000235
0.0027,0.00024
0.0028,1e-05
0.0029,1e-05
0.003,1e-05
0.0031,1.5e-05
0.0032,1.5e-05
0.0033,1.5e-05
0.0034,1.5e-05
0.0035,1.5e-05
0.0036,1.5e-05
0.0037,1.5e-05
0.0038,1.5e-05
0.0039,1.5e-05
0.004,1.5e-05
0.0041,1.5e-05
0.0042,1e-05
0.0043,1e-05
0.0044,1e-05
0.0045,1e-05
0.0046,1e-05
0.0047,0.00024
0.0048,0.000205
0.0049,0.00024
0.005,1e-05
