y_field,Ic
-0.0075,1.925e-06
-0.0073,2.2e-06
-0.0071,1.925e-06
-0.0069,1.925e-06
-0.0067,1.375e-06
-0.0065,1.1e-06
-0.0063,8.25e-07
-0.0061,1.65e-06
-0.0059,2.2e-06
-0.0057,2.75e-06
-0.0055,1.925e-06
-0.0053,3.85e-06
-0.0051,3.85e-06
-0.0049,3.575e-06
-0.0047,3.025e-06
-0.0045,2.2e-06
-0.0043,2.2e-06
-0.0041,2.2e-06
-0.0039,3.025e-06
-0.0037,4.125e-06
-0.0035,2.75e-06
-0.0033,6.875e-06
-0.0031,7.7e-06
-0.0029,8.8e-06
-0.0027,5.225e-06
-0.0025,7.975e-06
-0.0023,7.425e-06
-0.0021,2.75e-06
-0.0019,2.75e-06
-0.0017,3.85e-06
-0.0015,3.85e-06
-0.0013,4.125e-06
-0.0011,5.225e-06
-0.0009,8.25e-06
-0.0007,9.9e-06
-0.0005,1.195e-05
-0.0003,6.875e-06
-0.0001,1.575e-05
9.99999999999994e-05,2.05e-05
0.0003,1.765e-05
0.0005,1.67e-05
0.0006999999999999,1.48e-05
0.0009,3.575e-06
0.0011,6.875e-06
0.0013,4.4e-06
0.0015,2.2e-06
0.0017,3.025e-06
0.0019,2.75e-06
0.0021,3.575e-06
0.0023,4.675e-06
0.0025,6.05e-06
0.0027,6.875e-06
0.0029,7.975e-06
0.0031,7.425e-06
0.0033,7.15e-06
0.0035,6.6e-06
0.0037,5.225e-06
0.0039,3.3e-06
0.0041,2.2e-06
0.0043,1.1e-06
0.0045,1.1e-06
0.0047,1.375e-06
0.0049,2.2e-06
0.0051,2.75e-06
0.0053,2.75e-06
0.0055,2.475e-06
0.0057,1.65e-06
0.0059,1.65e-06
0.0061,1.65e-06
0.0063,1.375e-06
0.0065,2.475e-06
0.0067,8.25e-07
0.0069,1.1e-06
0.0071,1.375e-06
0.0073,1.375e-06
0.0075,1.925e-06
