y_field,Ic
-0.00319,1.04e-06
-0.0031898,1.4e-06
-0.0031896,1.56e-06
-0.0031894,1.48e-06
-0.0031892,1.52e-06
-0.003189,1.52e-06
-0.0031888,1.56e-06
-0.0031886,1.56e-06
-0.0031884,1.4e-06
-0.0031882,1.36e-06
-0.003188,1.32e-06
-0.0031878,1.24e-06
-0.0031876,1.24e-06
-0.0031874,1.16e-06
-0.0031872,1.08e-06
-0.003187,8e-07
-0.0031868,6e-07
-0.0031866,7.6e-07
-0.0031864,6.4e-07
-0.0031862,4e-07
-0.003186,3.6e-07
-0.0031858,2.8e-07
-0.0031856,2.8e-07
-0.0031854,2.8e-07
-0.0031852,2.8e-07
-0.003185,2.8e-07
-0.0031848,2.8e-07
-0.0031846,2.8e-07
-0.0031844,2.8e-07
-0.0031842,3.2e-07
-0.003184,4.4e-07
-0.0031838,5.6e-07
-0.0031836,6e-07
-0.0031834,6e-07
-0.0031832,7.6e-07
-0.003183,7.2e-07
-0.0031828,9.2e-07
-0.0031826,1e-06
-0.0031824,1.2e-06
-0.0031822,1.24e-06
-0.003182,1.36e-06
-0.0031818,1.48e-06
-0.0031816,1.56e-06
-0.0031814,1.6e-06
-0.0031812,1.56e-06
-0.003181,1.44e-06
-0.0031808,1.6e-06
-0.0031806,1.48e-06
-0.0031804,1.6e-06
-0.0031802,1.4e-06
-0.00318,1.32e-06
-0.0031798,1.16e-06
-0.0031796,1.16e-06
-0.0031794,1.08e-06
-0.0031792,1.12e-06
-0.003179,8.8e-07
-0.0031788,8e-07
-0.0031786,8.4e-07
-0.0031784,3.6e-07
-0.0031782,4.8e-07
-0.003178,3.2e-07
-0.0031778,3.2e-07
-0.0031776,2.4e-07
-0.0031774,2.8e-07
-0.0031772,2.8e-07
-0.003177,2.8e-07
-0.0031768,3.2e-07
-0.0031766,3.6e-07
-0.0031764,4e-07
-0.0031762,3.2e-07
-0.003176,3.6e-07
-0.0031758,5.6e-07
-0.0031756,5.2e-07
-0.0031754,8e-07
-0.0031752,1e-06
-0.003175,1e-06
-0.0031748,1.08e-06
-0.0031746,1.12e-06
-0.0031744,1.04e-06
-0.0031742,1.16e-06
-0.003174,1.44e-06
-0.0031738,1.44e-06
-0.0031736,1.44e-06
-0.0031734,1.56e-06
-0.0031732,1.48e-06
-0.003173,1.6e-06
-0.0031728,1.52e-06
-0.0031726,1.44e-06
-0.0031724,1.36e-06
-0.0031722,1.4e-06
-0.003172,1.28e-06
-0.0031718,1.32e-06
-0.0031716,1.24e-06
-0.0031714,9.2e-07
-0.0031712,9.2e-07
-0.003171,5.6e-07
-0.0031708,7.6e-07
-0.0031706,4.4e-07
-0.0031704,2.8e-07
-0.0031702,4e-07
-0.00317,3.6e-07
-0.0031698,3.6e-07
-0.0031696,3.2e-07
-0.0031694,2.8e-07
-0.0031692,3.2e-07
-0.003169,3.2e-07
-0.0031688,2.8e-07
-0.0031686,3.2e-07
-0.0031684,3.2e-07
-0.0031682,4.8e-07
-0.003168,5.6e-07
-0.0031678,5.6e-07
-0.0031676,5.2e-07
-0.0031674,8.4e-07
-0.0031672,1e-06
-0.003167,1.08e-06
-0.0031668,1.04e-06
-0.0031666,1.2e-06
-0.0031664,1.24e-06
-0.0031662,1.32e-06
-0.003166,1.36e-06
-0.0031658,1.48e-06
-0.0031656,1.48e-06
-0.0031654,1.52e-06
-0.0031652,1.52e-06
-0.003165,1.48e-06
-0.0031648,1.56e-06
-0.0031646,1.44e-06
-0.0031644,1.48e-06
-0.0031642,1.32e-06
-0.003164,1.32e-06
-0.0031638,1.12e-06
-0.0031636,1.04e-06
-0.0031634,9.2e-07
-0.0031632,7.2e-07
-0.003163,7.6e-07
-0.0031628,6.4e-07
-0.0031626,8.4e-07
-0.0031624,6.4e-07
-0.0031622,4.4e-07
-0.003162,3.2e-07
-0.0031618,3.2e-07
-0.0031616,3.2e-07
-0.0031614,3.2e-07
-0.0031612,3.2e-07
-0.003161,3.2e-07
-0.0031608,3.2e-07
-0.0031606,3.2e-07
-0.0031604,4e-07
-0.0031602,4e-07
-0.00316,6e-07
