y_field,Ic
-0.002215,2.95e-06
-0.0022148,3.1e-06
-0.0022146,3.1e-06
-0.0022144,3.05e-06
-0.0022142,3.05e-06
-0.002214,3e-06
-0.0022138,2.9e-06
-0.0022136,2.7e-06
-0.0022134,2.8e-06
-0.0022132,2.45e-06
-0.002213,2.5e-06
-0.0022128,2.5e-06
-0.0022126,2.5e-06
-0.0022124,2.2e-06
-0.0022122,2.15e-06
-0.002212,1.9e-06
-0.0022118,1.8e-06
-0.0022116,1.8e-06
-0.0022114,1.8e-06
-0.0022112,1.75e-06
-0.002211,1.75e-06
-0.0022108,1.75e-06
-0.0022106,1.75e-06
-0.0022104,1.8e-06
-0.0022102,1.75e-06
-0.00221,1.75e-06
-0.0022098,1.7e-06
-0.0022096,2e-06
-0.0022094,1.9e-06
-0.0022092,1.95e-06
-0.002209,2.25e-06
-0.0022088,2.25e-06
-0.0022086,2.35e-06
-0.0022084,2.4e-06
-0.0022082,2.35e-06
-0.002208,2.5e-06
-0.0022078,2.75e-06
-0.0022076,2.65e-06
-0.0022074,2.9e-06
-0.0022072,2.8e-06
-0.002207,2.75e-06
-0.0022068,3.05e-06
-0.0022066,3.1e-06
-0.0022064,3.05e-06
-0.0022062,3.05e-06
-0.002206,3e-06
-0.0022058,2.85e-06
-0.0022056,2.95e-06
-0.0022054,2.9e-06
-0.0022052,2.65e-06
-0.002205,2.35e-06
-0.0022048,2.45e-06
-0.0022046,2.35e-06
-0.0022044,2.05e-06
-0.0022042,2.15e-06
-0.002204,2.1e-06
-0.0022038,1.85e-06
-0.0022036,1.85e-06
-0.0022034,1.7e-06
-0.0022032,1.75e-06
-0.002203,1.75e-06
-0.0022028,1.75e-06
-0.0022026,1.75e-06
-0.0022024,1.75e-06
-0.0022022,1.75e-06
-0.002202,1.75e-06
-0.0022018,1.75e-06
-0.0022016,1.8e-06
-0.0022014,1.8e-06
-0.0022012,2.15e-06
-0.002201,2.05e-06
-0.0022008,2.2e-06
-0.0022006,2.5e-06
-0.0022004,2.6e-06
-0.0022002,2.65e-06
-0.0022,2.7e-06
-0.0021998,2.75e-06
-0.0021996,2.9e-06
-0.0021994,2.9e-06
-0.0021992,3.05e-06
-0.002199,3.15e-06
-0.0021988,3.1e-06
-0.0021986,3.15e-06
-0.0021984,3.1e-06
-0.0021982,2.9e-06
-0.002198,3.05e-06
-0.0021978,2.9e-06
-0.0021976,2.85e-06
-0.0021974,2.8e-06
-0.0021972,2.7e-06
-0.002197,2.4e-06
-0.0021968,2.3e-06
-0.0021966,2.4e-06
-0.0021964,2.3e-06
-0.0021962,2.2e-06
-0.002196,2.05e-06
-0.0021958,1.9e-06
-0.0021956,1.8e-06
-0.0021954,1.75e-06
-0.0021952,1.8e-06
-0.002195,1.75e-06
-0.0021948,1.75e-06
-0.0021946,1.75e-06
-0.0021944,1.75e-06
-0.0021942,1.75e-06
-0.002194,1.75e-06
-0.0021938,1.8e-06
-0.0021936,1.8e-06
-0.0021934,2e-06
-0.0021932,1.9e-06
-0.002193,2.2e-06
-0.0021928,2.15e-06
-0.0021926,2.5e-06
-0.0021924,2.45e-06
-0.0021922,2.6e-06
-0.002192,2.75e-06
-0.0021918,2.7e-06
-0.0021916,2.85e-06
-0.0021914,3.05e-06
-0.0021912,3.05e-06
-0.002191,3.05e-06
-0.0021908,3.2e-06
-0.0021906,3.05e-06
-0.0021904,3.1e-06
-0.0021902,3e-06
-0.00219,2.9e-06
-0.0021898,2.95e-06
-0.0021896,2.8e-06
-0.0021894,2.7e-06
-0.0021892,2.7e-06
-0.002189,2.55e-06
-0.0021888,2.45e-06
-0.0021886,2.2e-06
-0.0021884,2.1e-06
-0.0021882,1.8e-06
-0.002188,1.8e-06
-0.0021878,1.8e-06
-0.0021876,1.8e-06
-0.0021874,1.75e-06
-0.0021872,1.75e-06
-0.002187,1.75e-06
-0.0021868,1.75e-06
-0.0021866,1.75e-06
-0.0021864,1.75e-06
-0.0021862,1.75e-06
-0.002186,1.75e-06
-0.0021858,1.8e-06
-0.0021856,1.85e-06
-0.0021854,2.05e-06
-0.0021852,2.1e-06
-0.002185,2.3e-06
