y_field,Ic
-0.0075,6e-07
-0.0074,6e-07
-0.0073,6e-07
-0.0072,8e-07
-0.0071,1.4e-06
-0.007,1.6e-06
-0.0069,2e-06
-0.0068,2.4e-06
-0.0067,2.6e-06
-0.0066,2.8e-06
-0.0065,3e-06
-0.0064,3.4e-06
-0.0063,3.6e-06
-0.0062,3.2e-06
-0.0061,3.2e-06
-0.006,3e-06
-0.0059,2.6e-06
-0.0058,2.6e-06
-0.0057,2.2e-06
-0.0056,1.8e-06
-0.0055,1.4e-06
-0.0054,1.2e-06
-0.0053,1e-06
-0.0052,1.4e-06
-0.0051,1.8e-06
-0.005,2.6e-06
-0.0049,2.4e-06
-0.0048,3.6e-06
-0.0047,5.6e-06
-0.0046,4.6e-06
-0.0045,6e-06
-0.0044,5.8e-06
-0.0043,7e-06
-0.0042,8e-06
-0.0041,7e-06
-0.004,8e-06
-0.0039,9e-06
-0.0038,7.4e-06
-0.0037,8.2e-06
-0.0036,6.8e-06
-0.0035,8e-06
-0.0034,6e-06
-0.0033,6.8e-06
-0.0032,5.4e-06
-0.0031,4.4e-06
-0.003,3.8e-06
-0.0029,3.2e-06
-0.0028,2.8e-06
-0.0027,3e-06
-0.0026,3.2e-06
-0.0025,3.4e-06
-0.0024,4.6e-06
-0.0023,5.2e-06
-0.0022,7.6e-06
-0.0021,9.2e-06
-0.002,1.1e-05
-0.0019,1.4e-05
-0.0018,1.7e-05
-0.0017,1.35e-05
-0.0016,1.5e-05
-0.0015,2e-05
-0.0014,2.2e-05
-0.0013,1.6e-05
-0.0012,2.15e-05
-0.0011,2.5e-05
-0.001,1.65e-05
-0.0009,2.15e-05
-0.0008,2.6e-05
-0.0007,1.65e-05
-0.0006,2.35e-05
-0.0005,2.2e-05
-0.0004,1.9e-05
-0.0003,2.35e-05
-0.0002,1.45e-05
-0.0001,1.85e-05
0.0,1.05e-05
9.99999999999994e-05,1.35e-05
0.0002,8.8e-06
0.0003,6.6e-06
0.0003999999999999,5.4e-06
0.0005,6e-06
0.0006,4.4e-06
0.0006999999999999,4.2e-06
0.0008,4e-06
0.0009,3.8e-06
0.0009999999999999,4e-06
0.0011,4.4e-06
0.0012,4.6e-06
0.0013,2.2e-06
0.0014,6e-06
0.0015,6.6e-06
0.0016,7.4e-06
0.0017,8.2e-06
0.0018,7e-06
0.0019,7.8e-06
0.002,8.8e-06
0.0021,7.2e-06
0.0022,8.2e-06
0.0023,9.4e-06
0.0024,7.6e-06
0.0025,8.4e-06
0.0026,6.8e-06
0.0027,7.4e-06
0.0028,6e-06
0.0029,5e-06
0.003,4e-06
0.0031,3.6e-06
0.0032,1.8e-06
0.0033,2.4e-06
0.0034,1.6e-06
0.0035,1.8e-06
0.0036,1.8e-06
0.0037,2e-06
0.0038,2.2e-06
0.0039,2.4e-06
0.004,2.6e-06
0.0041,2.8e-06
0.0042,1.4e-06
0.0043,3.4e-06
0.0044,3e-06
0.0045,3.2e-06
0.0046,3.4e-06
0.0047,3e-06
0.0048,2.2e-06
0.0049,2.4e-06
0.005,2.4e-06
0.0051,2.4e-06
0.0052,1.4e-06
0.0053,1.6e-06
0.0054,1.4e-06
0.0055,1e-06
0.0056,1e-06
0.0057,8e-07
0.0058,1e-06
0.0059,1.2e-06
0.006,1.2e-06
0.0061,1.4e-06
0.0062,1.6e-06
0.0063,1.6e-06
0.0064,1.8e-06
0.0065,2e-06
0.0066,2e-06
0.0067,1.8e-06
0.0068,1.8e-06
0.0069,1.4e-06
0.007,1.4e-06
0.0071,1.2e-06
0.0072,1.2e-06
0.0073,1e-06
0.0074,8e-07
0.0075,8e-07
