y_field,Ic
-0.0075,4e-07
-0.0074,1.6e-06
-0.0073,9e-07
-0.0072,1.9e-06
-0.0071,2.4e-06
-0.007,1.9e-06
-0.0069,3.6e-06
-0.0068,2.8e-06
-0.0067,3.4e-06
-0.0066,4.1e-06
-0.0065,3.3e-06
-0.0064,4e-06
-0.0063,4e-06
-0.0062,3.6e-06
-0.0061,3.8e-06
-0.006,3.8e-06
-0.0059,2.9e-06
-0.0058,3.3e-06
-0.0057,2.9e-06
-0.0056,1.6e-06
-0.0055,2.7e-06
-0.0054,2.4e-06
-0.0053,5e-07
-0.0052,2.3e-06
-0.0051,1.7e-06
-0.005,1e-06
-0.0049,1.8e-06
-0.0048,8e-07
-0.0047,1.3e-06
-0.0046,3.4e-06
-0.0045,2.1e-06
-0.0044,3.2e-06
-0.0043,4.9e-06
-0.0042,3.2e-06
-0.0041,4.3e-06
-0.004,4e-06
-0.0039,4.8e-06
-0.0038,3.6e-06
-0.0037,3.9e-06
-0.0036,4.4e-06
-0.0035,2.8e-06
-0.0034,3.1e-06
-0.0033,3.7e-06
-0.0032,1.2e-06
-0.0031,2.3e-06
-0.003,2.1e-06
-0.0029,8e-07
-0.0028,1.9e-06
-0.0027,2.6e-06
-0.0026,9e-07
-0.0025,3.1e-06
-0.0024,3.3e-06
-0.0023,2.5e-06
-0.0022,5.6e-06
-0.0021,2.3e-06
-0.002,5.2e-06
-0.0019,4.7e-06
-0.0018,3.6e-06
-0.0017,7.1e-06
-0.0016,3.2e-06
-0.0015,4.2e-06
-0.0014,6.6e-06
-0.0013,2.2e-06
-0.0012,4.5e-06
-0.0011,4.7e-06
-0.001,1.1e-06
-0.0009,4e-06
-0.0008,2e-06
-0.0007,1.2e-06
-0.0006,3.4e-06
-0.0005,2.3e-06
-0.0004,1.3e-06
-0.0003,4.3e-06
-0.0002,1.3e-06
-0.0001,4.4e-06
0.0,3.8e-06
9.99999999999994e-05,3.9e-06
0.0002,6.8e-06
0.0003,2.3e-06
0.0003999999999999,6.1e-06
0.0005,4.9e-06
0.0006,3.7e-06
0.0006999999999999,6.7e-06
0.0008,2.1e-06
0.0009,5e-06
0.0009999999999999,4.4e-06
0.0011,1.9e-06
0.0012,5e-06
0.0013,2.5e-06
0.0014,4.1e-06
0.0015,3e-06
0.0016,1.7e-06
0.0017,4.6e-06
0.0018,2.7e-06
0.0019,3.8e-06
0.002,5.3e-06
0.0021,2.7e-06
0.0022,6.2e-06
0.0023,2.4e-06
0.0024,7.1e-06
0.0025,3.1e-06
0.0026,5.8e-06
0.0027,5.6e-06
0.0028,4.1e-06
0.0029,6.1e-06
0.003,2.6e-06
0.0031,5.6e-06
0.0032,2.2e-06
0.0033,4.6e-06
0.0034,3e-06
0.0035,2.3e-06
0.0036,3.8e-06
0.0037,1.1e-06
0.0038,2.6e-06
0.0039,2.2e-06
0.004,6e-07
0.0041,2.3e-06
0.0042,1.1e-06
0.0043,1.3e-06
0.0044,2.4e-06
0.0045,1.2e-06
0.0046,3e-06
0.0047,2.2e-06
0.0048,3e-06
0.0049,3.5e-06
0.005,2.5e-06
0.0051,3.8e-06
0.0052,2.4e-06
0.0053,3.5e-06
0.0054,3.4e-06
0.0055,2.1e-06
0.0056,3.1e-06
0.0057,2.6e-06
0.0058,1.5e-06
0.0059,2.2e-06
0.006,1.8e-06
0.0061,7e-07
0.0062,1.4e-06
0.0063,1.1e-06
0.0064,4e-07
0.0065,9e-07
0.0066,1.3e-06
0.0067,9e-07
0.0068,7e-07
0.0069,1.7e-06
0.007,1.4e-06
0.0071,1.1e-06
0.0072,1.7e-06
0.0073,2e-06
0.0074,1.6e-06
0.0075,1.2e-06
