y_field,Ic
-0.0075,3e-07
-0.0074,5e-07
-0.0073,3e-07
-0.0072,3.5e-07
-0.0071,5.5e-07
-0.007,6e-07
-0.0069,9e-07
-0.0068,1.05e-06
-0.0067,1.55e-06
-0.0066,1.8e-06
-0.0065,2.15e-06
-0.0064,2.55e-06
-0.0063,3.05e-06
-0.0062,2.25e-06
-0.0061,2.75e-06
-0.006,3e-06
-0.0059,2.4e-06
-0.0058,2.6e-06
-0.0057,2e-06
-0.0056,1.6e-06
-0.0055,1.25e-06
-0.0054,1e-06
-0.0053,7e-07
-0.0052,4.5e-07
-0.0051,5e-07
-0.005,5.5e-07
-0.0049,5e-07
-0.0048,6e-07
-0.0047,6.5e-07
-0.0046,6e-07
-0.0045,6.5e-07
-0.0044,7.5e-07
-0.0043,1.2e-06
-0.0042,1.15e-06
-0.0041,1.35e-06
-0.004,1.2e-06
-0.0039,1.35e-06
-0.0038,1.15e-06
-0.0037,1e-06
-0.0036,8e-07
-0.0035,7e-07
-0.0034,5.5e-07
-0.0033,5e-07
-0.0032,4e-07
-0.0031,4e-07
-0.003,3.5e-07
-0.0029,4e-07
-0.0028,9.5e-07
-0.0027,1.4e-06
-0.0026,1.65e-06
-0.0025,1.95e-06
-0.0024,2.25e-06
-0.0023,1.8e-06
-0.0022,2.05e-06
-0.0021,2.4e-06
-0.002,1.85e-06
-0.0019,1.2e-06
-0.0018,1.85e-06
-0.0017,1.45e-06
-0.0016,1.25e-06
-0.0015,8e-07
-0.0014,7.5e-07
-0.0013,7.5e-07
-0.0012,6.5e-07
-0.0011,7.5e-07
-0.001,1e-06
-0.0009,1.1e-06
-0.0008,9.5e-07
-0.0007,7.5e-07
-0.0006,6.5e-07
-0.0005,6.5e-07
-0.0004,7.5e-07
-0.0003,1.1e-06
-0.0002,9.5e-07
-0.0001,1.1e-06
0.0,1.2e-06
9.99999999999994e-05,1e-06
0.0002,1.1e-06
0.0003,9.5e-07
0.0003999999999999,8.5e-07
0.0005,7e-07
0.0006,8e-07
0.0006999999999999,7e-07
0.0008,5.5e-07
0.0009,8e-07
0.0009999999999999,7e-07
0.0011,5.5e-07
0.0012,7e-07
0.0013,7e-07
0.0014,8e-07
0.0015,1.25e-06
0.0016,1.35e-06
0.0017,1.75e-06
0.0018,1.4e-06
0.0019,1.65e-06
0.002,1.95e-06
0.0021,1.5e-06
0.0022,1.8e-06
0.0023,1.55e-06
0.0024,1.25e-06
0.0025,1.1e-06
0.0026,9.5e-07
0.0027,1.1e-06
0.0028,1e-06
0.0029,8.5e-07
0.003,7.5e-07
0.0031,1.05e-06
0.0032,9e-07
0.0033,1e-06
0.0034,8.5e-07
0.0035,9.5e-07
0.0036,1e-06
0.0037,8.5e-07
0.0038,1.25e-06
0.0039,1.5e-06
0.004,1.75e-06
0.0041,2.1e-06
0.0042,2.5e-06
0.0043,3.05e-06
0.0044,2.2e-06
0.0045,3e-06
0.0046,2.45e-06
0.0047,2.95e-06
0.0048,2.2e-06
0.0049,2.75e-06
0.005,2.05e-06
0.0051,1.65e-06
0.0052,1.9e-06
0.0053,1.45e-06
0.0054,9.5e-07
0.0055,7e-07
0.0056,5e-07
0.0057,4.5e-07
0.0058,5e-07
0.0059,6e-07
0.006,4.5e-07
0.0061,7.5e-07
0.0062,8.5e-07
0.0063,7e-07
0.0064,8e-07
0.0065,1.15e-06
0.0066,1.25e-06
0.0067,1.35e-06
0.0068,1.55e-06
0.0069,1.25e-06
0.007,1.4e-06
0.0071,1.2e-06
0.0072,1.2e-06
0.0073,1e-06
0.0074,1.05e-06
0.0075,7e-07
