y_field,Ic
0.000585,3.25e-06
0.0005852,3.15e-06
0.0005854,3.05e-06
0.0005856,2.85e-06
0.0005858,2.7e-06
0.000586,2.65e-06
0.0005862,2.5e-06
0.0005864,2.6e-06
0.0005866,2.6e-06
0.0005868,2.6e-06
0.000587,2.6e-06
0.0005872,2.75e-06
0.0005874,2.85e-06
0.0005876,2.75e-06
0.0005878,3.05e-06
0.000588,3.2e-06
0.0005882,3.15e-06
0.0005884,3.4e-06
0.0005886,3.55e-06
0.0005888,3.85e-06
0.000589,3.75e-06
0.0005892,3.95e-06
0.0005894,3.95e-06
0.0005896,4.2e-06
0.0005898,4.2e-06
0.00059,4.15e-06
0.0005902,4.25e-06
0.0005904,4.25e-06
0.0005906,4.15e-06
0.0005908,4.05e-06
0.000591,4.05e-06
0.0005912,4.15e-06
0.0005914,3.85e-06
0.0005916,3.85e-06
0.0005918,3.85e-06
0.000592,3.7e-06
0.0005922,3.6e-06
0.0005924,3.4e-06
0.0005926,3.25e-06
0.0005928,3.1e-06
0.000593,2.8e-06
0.0005932,2.75e-06
0.0005934,2.65e-06
0.0005936,2.6e-06
0.0005938,2.6e-06
0.000594,2.6e-06
0.0005942,2.6e-06
0.0005944,2.55e-06
0.0005946,2.65e-06
0.0005948,2.65e-06
0.000595,2.7e-06
0.0005952,2.65e-06
0.0005954,2.7e-06
0.0005956,2.75e-06
0.0005958,2.8e-06
0.000596,3.05e-06
0.0005962,3.15e-06
0.0005964,3.4e-06
0.0005966,3.4e-06
0.0005968,3.7e-06
0.000597,3.85e-06
0.0005972,3.9e-06
0.0005974,4.2e-06
0.0005976,4.2e-06
0.0005978,4.15e-06
0.000598,4.25e-06
0.0005982,4.25e-06
0.0005984,4.3e-06
0.0005986,4.2e-06
0.0005988,4.05e-06
0.000599,4.05e-06
0.0005992,3.75e-06
0.0005994,3.95e-06
0.0005996,3.85e-06
0.0005998,3.75e-06
0.0006,3.4e-06
0.0006002,3.3e-06
0.0006004,3.25e-06
0.0006006,3.1e-06
0.0006008,3e-06
0.000601,2.6e-06
0.0006012,2.7e-06
0.0006014,2.65e-06
0.0006016,2.65e-06
0.0006018,2.65e-06
0.000602,2.6e-06
0.0006022,2.6e-06
0.0006024,2.55e-06
0.0006026,2.6e-06
0.0006028,2.8e-06
0.000603,2.6e-06
0.0006032,2.75e-06
0.0006034,2.9e-06
0.0006036,3.25e-06
0.0006038,3.2e-06
0.000604,3.35e-06
0.0006042,3.45e-06
0.0006044,3.85e-06
0.0006046,3.95e-06
0.0006048,3.8e-06
0.000605,4.1e-06
0.0006052,4.2e-06
0.0006054,4.1e-06
0.0006056,4.1e-06
0.0006058,4.25e-06
0.000606,4.25e-06
0.0006062,4.3e-06
0.0006064,4.3e-06
0.0006066,4.15e-06
0.0006068,4.05e-06
0.000607,4e-06
0.0006072,3.8e-06
0.0006074,4e-06
0.0006076,3.75e-06
0.0006078,3.45e-06
0.000608,3.4e-06
0.0006082,3.2e-06
0.0006084,3.15e-06
0.0006086,3.1e-06
0.0006088,2.75e-06
0.000609,2.65e-06
0.0006092,2.6e-06
0.0006094,2.65e-06
0.0006096,2.6e-06
0.0006098,2.6e-06
0.00061,2.6e-06
0.0006102,2.6e-06
0.0006104,2.65e-06
0.0006106,2.65e-06
0.0006108,2.6e-06
0.000611,2.8e-06
0.0006112,2.8e-06
0.0006114,2.95e-06
0.0006116,3.25e-06
0.0006118,3.25e-06
0.000612,3.25e-06
0.0006122,3.65e-06
0.0006124,3.7e-06
0.0006126,3.85e-06
0.0006128,4.1e-06
0.000613,4e-06
0.0006132,4.2e-06
0.0006134,4.3e-06
0.0006136,4.25e-06
0.0006138,4.35e-06
0.000614,4.3e-06
0.0006142,4.3e-06
0.0006144,4.2e-06
0.0006146,4.15e-06
0.0006148,3.8e-06
0.000615,3.95e-06
