y_field,Ic
0.001085,1.8e-06
0.0010852,1.9e-06
0.0010854,1.8e-06
0.0010856,1.7e-06
0.0010858,1.9e-06
0.001086,1.8e-06
0.0010862,1.8e-06
0.0010864,1.8e-06
0.0010866,1.9e-06
0.0010868,1.9e-06
0.001087,1.8e-06
0.0010872,1.8e-06
0.0010874,1.7e-06
0.0010876,1.7e-06
0.0010878,1.6e-06
0.001088,1.6e-06
0.0010882,1.6e-06
0.0010884,1.6e-06
0.0010886,1.5e-06
0.0010888,1.5e-06
0.001089,1.5e-06
0.0010892,1.4e-06
0.0010894,1.4e-06
0.0010896,1.4e-06
0.0010898,1.4e-06
0.00109,1.4e-06
0.0010902,1.4e-06
0.0010904,1.4e-06
0.0010906,1.4e-06
0.0010908,1.4e-06
0.001091,1.4e-06
0.0010912,1.4e-06
0.0010914,1.5e-06
0.0010916,1.4e-06
0.0010918,1.5e-06
0.001092,1.6e-06
0.0010922,1.5e-06
0.0010924,1.5e-06
0.0010926,1.6e-06
0.0010928,1.7e-06
0.001093,1.7e-06
0.0010932,1.9e-06
0.0010934,1.8e-06
0.0010936,1.9e-06
0.0010938,1.8e-06
0.001094,2e-06
0.0010942,2e-06
0.0010944,2e-06
0.0010946,2e-06
0.0010948,2e-06
0.001095,2e-06
0.0010952,2e-06
0.0010954,2e-06
0.0010956,1.9e-06
0.0010958,1.9e-06
0.001096,1.8e-06
0.0010962,1.8e-06
0.0010964,1.7e-06
0.0010966,1.8e-06
0.0010968,1.7e-06
0.001097,1.6e-06
0.0010972,1.6e-06
0.0010974,1.6e-06
0.0010976,1.6e-06
0.0010978,1.5e-06
0.001098,1.5e-06
0.0010982,1.5e-06
0.0010984,1.4e-06
0.0010986,1.4e-06
0.0010988,1.4e-06
0.001099,1.4e-06
0.0010992,1.4e-06
0.0010994,1.4e-06
0.0010996,1.4e-06
0.0010998,1.4e-06
0.0011,1.4e-06
0.0011002,1.4e-06
0.0011004,1.4e-06
0.0011006,1.5e-06
0.0011008,1.5e-06
0.001101,1.6e-06
0.0011012,1.5e-06
0.0011014,1.7e-06
0.0011016,1.8e-06
0.0011018,1.7e-06
0.001102,1.8e-06
0.0011022,1.8e-06
0.0011024,2e-06
0.0011026,2e-06
0.0011028,2e-06
0.001103,2e-06
0.0011032,2.1e-06
0.0011034,2e-06
0.0011036,2e-06
0.0011038,2e-06
0.001104,2e-06
0.0011042,2e-06
0.0011044,1.9e-06
0.0011046,1.8e-06
0.0011048,1.8e-06
0.001105,1.8e-06
0.0011052,1.7e-06
0.0011054,1.8e-06
0.0011056,1.7e-06
0.0011058,1.6e-06
0.001106,1.6e-06
0.0011062,1.4e-06
0.0011064,1.5e-06
0.0011066,1.4e-06
0.0011068,1.5e-06
0.001107,1.4e-06
0.0011072,1.4e-06
0.0011074,1.4e-06
0.0011076,1.4e-06
0.0011078,1.4e-06
0.001108,1.4e-06
0.0011082,1.4e-06
0.0011084,1.4e-06
0.0011086,1.4e-06
0.0011088,1.4e-06
0.001109,1.4e-06
0.0011092,1.6e-06
0.0011094,1.6e-06
0.0011096,1.6e-06
0.0011098,1.7e-06
0.00111,1.7e-06
0.0011102,1.9e-06
0.0011104,1.8e-06
0.0011106,2e-06
0.0011108,1.9e-06
0.001111,2e-06
0.0011112,2e-06
0.0011114,2e-06
0.0011116,2e-06
0.0011118,2e-06
0.001112,1.9e-06
0.0011122,1.9e-06
0.0011124,2e-06
0.0011126,2e-06
0.0011128,1.9e-06
0.001113,1.8e-06
0.0011132,1.7e-06
0.0011134,1.7e-06
0.0011136,1.7e-06
0.0011138,1.6e-06
0.001114,1.6e-06
0.0011142,1.5e-06
0.0011144,1.5e-06
0.0011146,1.5e-06
0.0011148,1.5e-06
0.001115,1.4e-06
