y_field,Ic
0.001285,4.6e-07
0.0012852,4.2e-07
0.0012854,4.4e-07
0.0012856,4.3e-07
0.0012858,4.2e-07
0.001286,4.2e-07
0.0012862,3.9e-07
0.0012864,3.9e-07
0.0012866,3.9e-07
0.0012868,3.9e-07
0.001287,3.7e-07
0.0012872,3.9e-07
0.0012874,4e-07
0.0012876,3.8e-07
0.0012878,3.6e-07
0.001288,3.9e-07
0.0012882,3.9e-07
0.0012884,3.9e-07
0.0012886,4e-07
0.0012888,3.9e-07
0.001289,4e-07
0.0012892,4e-07
0.0012894,3.9e-07
0.0012896,3.9e-07
0.0012898,4.1e-07
0.00129,4.3e-07
0.0012902,4.3e-07
0.0012904,4.2e-07
0.0012906,4.6e-07
0.0012908,4.6e-07
0.001291,4.8e-07
0.0012912,4.6e-07
0.0012914,4.7e-07
0.0012916,4.7e-07
0.0012918,4.8e-07
0.001292,4.9e-07
0.0012922,4.9e-07
0.0012924,4.9e-07
0.0012926,5e-07
0.0012928,4.6e-07
0.001293,4.7e-07
0.0012932,4.5e-07
0.0012934,4.4e-07
0.0012936,4.4e-07
0.0012938,4.1e-07
0.001294,4.1e-07
0.0012942,4.2e-07
0.0012944,4.2e-07
0.0012946,4e-07
0.0012948,4e-07
0.001295,3.9e-07
0.0012952,3.9e-07
0.0012954,3.9e-07
0.0012956,4e-07
0.0012958,3.9e-07
0.001296,3.8e-07
0.0012962,3.9e-07
0.0012964,4e-07
0.0012966,3.8e-07
0.0012968,3.9e-07
0.001297,4e-07
0.0012972,3.9e-07
0.0012974,4e-07
0.0012976,4e-07
0.0012978,4.2e-07
0.001298,4e-07
0.0012982,4.4e-07
0.0012984,4.1e-07
0.0012986,4.2e-07
0.0012988,4.5e-07
0.001299,4.7e-07
0.0012992,4.7e-07
0.0012994,4.7e-07
0.0012996,5.1e-07
0.0012998,4.6e-07
0.0013,5.1e-07
0.0013002,4.9e-07
0.0013004,4.9e-07
0.0013006,4.5e-07
0.0013008,4.8e-07
0.001301,4.6e-07
0.0013012,4.4e-07
0.0013014,4.4e-07
0.0013016,4.2e-07
0.0013018,4.2e-07
0.001302,4.3e-07
0.0013022,4.1e-07
0.0013024,3.9e-07
0.0013026,3.8e-07
0.0013028,4e-07
0.001303,3.9e-07
0.0013032,3.9e-07
0.0013034,3.9e-07
0.0013036,3.9e-07
0.0013038,3.8e-07
0.001304,3.9e-07
0.0013042,3.9e-07
0.0013044,3.9e-07
0.0013046,3.9e-07
0.0013048,4e-07
0.001305,4e-07
0.0013052,4.1e-07
0.0013054,4.1e-07
0.0013056,4.5e-07
0.0013058,4e-07
0.001306,3.8e-07
0.0013062,4.3e-07
0.0013064,4.3e-07
0.0013066,4.4e-07
0.0013068,4.8e-07
0.001307,4.4e-07
0.0013072,4.7e-07
0.0013074,4.9e-07
0.0013076,4.9e-07
0.0013078,5e-07
0.001308,5e-07
0.0013082,5e-07
0.0013084,4.8e-07
0.0013086,4.5e-07
0.0013088,4.6e-07
0.001309,4.3e-07
0.0013092,4.5e-07
0.0013094,4.4e-07
0.0013096,4.3e-07
0.0013098,4.4e-07
0.00131,4.1e-07
0.0013102,4.1e-07
0.0013104,3.9e-07
0.0013106,3.9e-07
0.0013108,3.9e-07
0.001311,3.9e-07
0.0013112,3.8e-07
0.0013114,3.9e-07
0.0013116,3.8e-07
0.0013118,3.9e-07
0.001312,3.8e-07
0.0013122,3.9e-07
0.0013124,4e-07
0.0013126,4e-07
0.0013128,4e-07
0.001313,3.9e-07
0.0013132,4.2e-07
0.0013134,3.9e-07
0.0013136,4.2e-07
0.0013138,4.3e-07
0.001314,4.5e-07
0.0013142,4.4e-07
0.0013144,4.2e-07
0.0013146,5e-07
0.0013148,4.6e-07
0.001315,4.7e-07
