y_field,Ic
-0.0075,2.2e-06
-0.0074,2e-06
-0.0073,2.2e-06
-0.0072,2.4e-06
-0.0071,2.6e-06
-0.007,2.6e-06
-0.0069,2.4e-06
-0.0068,2.4e-06
-0.0067,2.2e-06
-0.0066,2e-06
-0.0065,1.6e-06
-0.0064,1.6e-06
-0.0063,1.4e-06
-0.0062,1e-06
-0.0061,8e-07
-0.006,8e-07
-0.0059,1e-06
-0.0058,1.2e-06
-0.0057,1.2e-06
-0.0056,2.2e-06
-0.0055,2.4e-06
-0.0054,3.2e-06
-0.0053,3.6e-06
-0.0052,3.4e-06
-0.0051,3.8e-06
-0.005,4.6e-06
-0.0049,4.6e-06
-0.0048,4.6e-06
-0.0047,4.6e-06
-0.0046,4.6e-06
-0.0045,4.8e-06
-0.0044,4.2e-06
-0.0043,3.8e-06
-0.0042,3.2e-06
-0.0041,2.4e-06
-0.004,2.2e-06
-0.0039,2e-06
-0.0038,1.2e-06
-0.0037,1.2e-06
-0.0036,1e-06
-0.0035,1e-06
-0.0034,1.6e-06
-0.0033,2.4e-06
-0.0032,3.2e-06
-0.0031,4.2e-06
-0.003,4.6e-06
-0.0029,6.6e-06
-0.0028,7.2e-06
-0.0027,8.2e-06
-0.0026,7.2e-06
-0.0025,7.8e-06
-0.0024,8.8e-06
-0.0023,9.8e-06
-0.0022,7.8e-06
-0.0021,8.8e-06
-0.002,7.2e-06
-0.0019,8e-06
-0.0018,6.4e-06
-0.0017,5.4e-06
-0.0016,6e-06
-0.0015,4.2e-06
-0.0014,4.2e-06
-0.0013,3.6e-06
-0.0012,2.2e-06
-0.0011,2.2e-06
-0.001,2.4e-06
-0.0009,2.4e-06
-0.0008,2.6e-06
-0.0007,3e-06
-0.0006,3e-06
-0.0005,4.2e-06
-0.0004,6.2e-06
-0.0003,6.8e-06
-0.0002,7.6e-06
-0.0001,9e-06
0.0,3.2e-06
9.99999999999994e-05,8e-06
0.0002,9.2e-06
0.0003,8e-06
0.0003999999999999,8.8e-06
0.0005,9.8e-06
0.0006,7.8e-06
0.0006999999999999,6.2e-06
0.0008,7.2e-06
0.0009,5.8e-06
0.0009999999999999,4.8e-06
0.0011,3.4e-06
0.0012,3e-06
0.0013,2.6e-06
0.0014,2.8e-06
0.0015,2.6e-06
0.0016,2.6e-06
0.0017,2.8e-06
0.0018,3e-06
0.0019,4.2e-06
0.002,4.6e-06
0.0021,5e-06
0.0022,5.8e-06
0.0023,6.8e-06
0.0024,7.8e-06
0.0025,6.2e-06
0.0026,7.2e-06
0.0027,8.4e-06
0.0028,7e-06
0.0029,8e-06
0.003,6.6e-06
0.0031,7.6e-06
0.0032,8.6e-06
0.0033,6.6e-06
0.0034,5.8e-06
0.0035,6.4e-06
0.0036,5.4e-06
0.0037,3.6e-06
0.0038,3.8e-06
0.0039,2.8e-06
0.004,2e-06
0.0041,2.2e-06
0.0042,1.8e-06
0.0043,1.4e-06
0.0044,1.6e-06
0.0045,1.4e-06
0.0046,2e-06
0.0047,2.2e-06
0.0048,2.4e-06
0.0049,3e-06
0.005,3.4e-06
0.0051,3.6e-06
0.0052,4e-06
0.0053,3.8e-06
0.0054,4e-06
0.0055,3.6e-06
0.0056,3e-06
0.0057,3.8e-06
0.0058,3.4e-06
0.0059,3e-06
0.006,2.8e-06
0.0061,2.2e-06
0.0062,2e-06
0.0063,1.4e-06
0.0064,1.2e-06
0.0065,1e-06
0.0066,1e-06
0.0067,8e-07
0.0068,8e-07
0.0069,1e-06
0.007,1.2e-06
0.0071,1.6e-06
0.0072,1.8e-06
0.0073,2e-06
0.0074,1.8e-06
0.0075,2e-06
