y_field,Ic
-0.0075,2.8e-06
-0.0073,2.5e-06
-0.0071,2.4e-06
-0.0069,1.9e-06
-0.0067,1.8e-06
-0.0065,1.7e-06
-0.0063,2e-06
-0.0061,2.6e-06
-0.0059,3.1e-06
-0.0057,3.7e-06
-0.0055,3.6e-06
-0.0053,4.2e-06
-0.0051,4.2e-06
-0.0049,4.2e-06
-0.0047,1.9e-06
-0.0045,2.7e-06
-0.0043,2.7e-06
-0.0041,2.1e-06
-0.0039,1.6e-06
-0.0037,1.1e-06
-0.0035,1.2e-06
-0.0033,1.5e-06
-0.0031,1.7e-06
-0.0029,2e-06
-0.0027,2e-06
-0.0025,2.3e-06
-0.0023,1.8e-06
-0.0021,1.4e-06
-0.0019,8e-07
-0.0017,7e-07
-0.0015,6e-07
-0.0013,1.1e-06
-0.0011,1.6e-06
-0.0009,1.7e-06
-0.0007,1.9e-06
-0.0005,1.8e-06
-0.0003,1.5e-06
-0.0001,1e-06
9.99999999999994e-05,6e-07
0.0003,5e-07
0.0005,3e-07
0.0006999999999999,4e-07
0.0009,6e-07
0.0011,7e-07
0.0013,7e-07
0.0015,7e-07
0.0017,5e-07
0.0019,4e-07
0.0021,3e-07
0.0023,3e-07
0.0025,7e-07
0.0027,1e-06
0.0029,1e-06
0.0031,1e-06
0.0033,1e-06
0.0035,9e-07
0.0037,7e-07
0.0039,5e-07
0.0041,3e-07
0.0043,4e-07
0.0045,5e-07
0.0047,6e-07
0.0049,1e-06
0.0051,1.1e-06
0.0053,1.1e-06
0.0055,1.1e-06
0.0057,8e-07
0.0059,6e-07
0.0061,7e-07
0.0063,6e-07
0.0065,5e-07
0.0067,8e-07
0.0069,1.1e-06
0.0071,1.7e-06
0.0073,2.1e-06
0.0075,2.3e-06
