y_field,Ic
-0.0075,3.25e-07
-0.0073,4.375e-07
-0.0071,5.625e-07
-0.0069,5.75e-07
-0.0067,5.5e-07
-0.0065,4.875e-07
-0.0063,4.125e-07
-0.0061,3.875e-07
-0.0059,3.125e-07
-0.0057,2.75e-07
-0.0055,3.125e-07
-0.0053,4.125e-07
-0.0051,5e-07
-0.0049,6.25e-07
-0.0047,6.875e-07
-0.0045,6.375e-07
-0.0043,4.875e-07
-0.0041,4.375e-07
-0.0039,3.125e-07
-0.0037,2.125e-07
-0.0035,1.75e-07
-0.0033,2.125e-07
-0.0031,2.5e-07
-0.0029,3e-07
-0.0027,3.25e-07
-0.0025,2.875e-07
-0.0023,2.125e-07
-0.0021,6.75e-07
-0.0019,2.375e-07
-0.0017,4.25e-07
-0.0015,2.25e-07
-0.0013,3.75e-07
-0.0011,4.625e-07
-0.0009,4.75e-07
-0.0007,5.25e-07
-0.0005,4.625e-07
-0.0003,2.75e-07
-0.0001,2.375e-07
9.99999999999994e-05,4.5e-07
0.0003,1.625e-07
0.0005,2.875e-07
0.0006999999999999,4.375e-07
0.0009,4e-07
0.0011,4e-07
0.0013,4.625e-07
0.0015,3.375e-07
0.0017,3.125e-07
0.0019,2.75e-07
0.0021,2.5e-07
0.0023,1.625e-07
0.0025,3.875e-07
0.0027,4e-07
0.0029,3.5e-07
0.0031,4.5e-07
0.0033,3.375e-07
0.0035,4.625e-07
0.0037,2.375e-07
0.0039,3.125e-07
0.0041,6.25e-08
0.0043,1.2375e-06
0.0045,3.5e-07
0.0047,4.875e-07
0.0049,6.75e-07
0.0051,7.375e-07
0.0053,8.625e-07
0.0055,9e-07
0.0057,6.375e-07
0.0059,6.25e-07
0.0061,4.375e-07
0.0063,1.75e-07
0.0065,1.25e-07
0.0067,3.375e-07
0.0069,2.75e-07
0.0071,5e-07
0.0073,6e-07
0.0075,6.5e-07
