Phi_ext,I_s_measured,I_s_josephson_fit,residuals
-0.002515,7.5e-07,5.853919336069139e-07,1.646080663930861e-07
-0.0025148,6.2e-07,7.327139315932122e-07,-1.1271393159321225e-07
-0.0025146,6.9e-07,8.80702254845318e-07,-1.9070225484531808e-07
-0.0025144,9.2e-07,1.0229879889085716e-06,-1.0298798890857164e-07
-0.0025142,9.3e-07,1.153783236592143e-06,-2.23783236592143e-07
-0.002514,1.09e-06,1.26839219411716e-06,-1.7839219411716002e-07
-0.0025138,9.9e-07,1.3634853531173948e-06,-3.7348535311739477e-07
-0.0025136,1.06e-06,1.4371271526485405e-06,-3.771271526485405e-07
-0.0025134,1.19e-06,1.4886176754884338e-06,-2.9861767548843376e-07
-0.0025132,1.26e-06,1.5182366873779513e-06,-2.582366873779513e-07
-0.002513,1.15e-06,1.5269683163123851e-06,-3.769683163123851e-07
-0.0025128,1.27e-06,1.516256689512262e-06,-2.46256689512262e-07
-0.0025126,1.3e-06,1.4878146257947706e-06,-1.8781462579477052e-07
-0.0025124,1.23e-06,1.443487704869675e-06,-2.13487704869675e-07
-0.0025122,1.21e-06,1.385165740375624e-06,-1.7516574037562402e-07
-0.002512,1.2e-06,1.3147303275522599e-06,-1.1473032755225991e-07
-0.0025118,1.14e-06,1.2340276485796762e-06,-9.40276485796761e-08
-0.0025116,9.8e-07,1.14485781566048e-06,-1.6485781566048016e-07
-0.0025114,8.5e-07,1.048974405558441e-06,-1.9897440555844102e-07
-0.0025112,9e-07,9.480898999587192e-07,-4.8089899958719224e-08
-0.002511,7.6e-07,8.438843203011261e-07,-8.388432030112607e-08
-0.0025108,7e-07,7.380154520840649e-07,-3.801545208406488e-08
-0.0025106,6.4e-07,6.32129777431464e-07,7.870222568535967e-09
-0.0025104,6.6e-07,5.278736637564629e-07,1.3212633624353712e-07
-0.0025102,4.8e-07,4.2690455463325453e-07,5.3095445366745427e-08
-0.00251,4.3e-07,3.3090191118094014e-07,9.909808881905988e-08
-0.0025098,5e-07,2.415774576829992e-07,2.584225423170008e-07
-0.0025096,4e-07,1.6068386194276864e-07,2.3931613805723134e-07
-0.0025094,3.8e-07,9.002026360113453e-08,2.899797363988655e-07
-0.0025092,3.5e-07,3.1431966070392933e-08,3.1856803392960705e-07
-0.002509,3.6e-07,-1.3199956339258068e-08,3.7319995633925806e-07
-0.0025088,3.2e-07,-4.1985435976891335e-08,3.6198543597689134e-07
-0.0025086,3.6e-07,-5.307724530657236e-08,4.1307724530657235e-07
-0.0025084,3.4e-07,-4.475867027645893e-08,3.847586702764589e-07
-0.0025082,3.6e-07,-1.5578371430378292e-08,3.755783714303783e-07
-0.002508,3.8e-07,3.5459467017009745e-08,3.4454053298299027e-07
-0.0025078,5e-07,1.0865172160834669e-07,3.913482783916533e-07
-0.0025076,6.9e-07,2.0332124282872613e-07,4.866787571712738e-07
-0.0025074,3.8e-07,3.175597944663e-07,6.244020553370003e-08
-0.0025072,6.4e-07,4.4806685187934876e-07,1.9193314812065125e-07
-0.002507,6.2e-07,5.901726750268897e-07,2.982732497311034e-08
-0.0025068,7.6e-07,7.381072711100016e-07,2.1892728889998418e-08
-0.0025066,7.9e-07,8.855073226470986e-07,-9.550732264709861e-08
-0.0025064,8.7e-07,1.0260650698228921e-06,-1.5606506982289209e-07
-0.0025062,8.6e-07,1.154163512594625e-06,-2.9416351259462503e-07
-0.002506,1.07e-06,1.2653482438707428e-06,-1.9534824387074293e-07
-0.0025058,1.09e-06,1.3565538938858971e-06,-2.665538938858972e-07
-0.0025056,1.11e-06,1.4260911160107964e-06,-3.160911160107965e-07
-0.0025054,1.22e-06,1.4734632987139971e-06,-2.5346329871399715e-07
-0.0025052,1.26e-06,1.4991017887319024e-06,-2.391017887319024e-07
-0.002505,1.26e-06,1.5040934428770474e-06,-2.440934428770474e-07
-0.0025048,1.31e-06,1.4899451990266734e-06,-1.799451990266734e-07
-0.0025046,1.15e-06,1.4584033306556502e-06,-3.084033306556502e-07
-0.0025044,1.08e-06,1.4113271219852846e-06,-3.3132712198528453e-07
-0.0025042,1.09e-06,1.350607937053159e-06,-2.6060793705315914e-07
-0.002504,1.19e-06,1.2781222382382078e-06,-8.812223823820773e-08
-0.0025038,8.8e-07,1.1957080590913245e-06,-3.1570805909132446e-07
-0.0025036,7.8e-07,1.1051566579840458e-06,-3.251566579840458e-07
-0.0025034,1.03e-06,1.0082134230029414e-06,2.178657699705874e-08
-0.0025032,7.2e-07,9.065840734901471e-07,-1.8658407349014713e-07
-0.002503,7.5e-07,8.019436861173007e-07,-5.1943686117300674e-08
-0.0025028,6.8e-07,6.959471013700401e-07,-1.5947101370040107e-08
-0.0025026,7.1e-07,5.902399293548631e-07,1.1976007064513692e-07
-0.0025024,5.4e-07,4.864697554224168e-07,5.3530244577583206e-08
-0.0025022,5.1e-07,3.862973067569668e-07,1.2370269324303319e-07
-0.002502,4.2e-07,2.914073072181528e-07,1.2859269278184718e-07
-0.0025018,3.4e-07,2.0351851448699066e-07,1.3648148551300932e-07
-0.0025016,3.8e-07,1.2439196088039385e-07,2.5560803911960616e-07
-0.0025014,3.8e-07,5.583563840274464e-08,3.241643615972554e-07
-0.0025012,3.5e-07,-2.9731009362838047e-10,3.5029731009362836e-07
-0.002501,3.4e-07,-4.21214885847222e-08,3.821214885847222e-07
-0.0025008,3.5e-07,-6.774996172475651e-08,4.177499617247565e-07
-0.0025006,3.4e-07,-7.535189606207316e-08,4.1535189606207313e-07
-0.0025004,3.5e-07,-6.324818863697341e-08,4.132481886369734e-07
-0.0025002,3.6e-07,-3.0056199273729254e-08,3.9005619927372925e-07
-0.0025,3.4e-07,2.510958051156407e-08,3.148904194884359e-07
-0.0024998,4.9e-07,1.0238582840298007e-07,3.876141715970199e-07
-0.0024996,4.3e-07,2.0088397213545438e-07,2.2911602786454564e-07
