Phi_ext,I_s_measured,I_s_josephson_fit,residuals
0.00285,1.32e-06,1.16832419629636e-05,-1.03632419629636e-05
0.0028502,1.38e-06,1.1646471728729719e-05,-1.0266471728729719e-05
0.0028504,1.5e-06,1.1602341167967673e-05,-1.0102341167967672e-05
0.0028506,1.68e-06,1.15517525752206e-05,-9.871752575220601e-06
0.0028508,1.8e-06,1.1495590794596077e-05,-9.695590794596077e-06
0.002851,1.86e-06,1.1434721377348961e-05,-9.574721377348962e-06
0.0028512,1.86e-06,1.1369991134891732e-05,-9.509991134891732e-06
0.0028514,1.86e-06,1.1302230180753899e-05,-9.442230180753898e-06
0.0028516,1.8e-06,1.1232254852292426e-05,-9.432254852292426e-06
0.0028518,1.92e-06,1.1160871121775178e-05,-9.240871121775178e-06
0.002852,2.04e-06,1.1088878259911172e-05,-9.048878259911173e-06
0.0028522,1.98e-06,1.101707261609769e-05,-9.03707261609769e-06
0.0028524,2.04e-06,1.0946251438977329e-05,-8.906251438977328e-06
0.0028526,2.04e-06,1.0877216685261196e-05,-8.837216685261195e-06
0.0028528,2.04e-06,1.0810778757345307e-05,-8.770778757345308e-06
0.002853,2.04e-06,1.0747760070092437e-05,-8.707760070092436e-06
0.0028532,1.92e-06,1.068899826925569e-05,-8.76899826925569e-06
0.0028534,1.86e-06,1.0635348799714508e-05,-8.775348799714507e-06
0.0028536,1.8e-06,1.0587686339189845e-05,-8.787686339189845e-06
0.0028538,1.74e-06,1.0546904358852118e-05,-8.806904358852118e-06
0.002854,1.74e-06,1.0513911734847973e-05,-8.773911734847973e-06
0.0028542,1.86e-06,1.0489624913100292e-05,-8.629624913100292e-06
0.0028544,1.56e-06,1.0474953646821159e-05,-8.914953646821159e-06
0.0028546,1.68e-06,1.0470777851528236e-05,-8.790777851528237e-06
0.0028548,1.56e-06,1.0477912803119091e-05,-8.917912803119091e-06
0.002855,1.56e-06,1.0497059998899886e-05,-8.937059998899886e-06
0.0028552,1.38e-06,1.0528741894091655e-05,-9.148741894091655e-06
0.0028554,1.32e-06,1.0573220885645644e-05,-9.253220885645645e-06
0.0028556,1.32e-06,1.063040673433933e-05,-9.310406734339331e-06
0.0028558,1.26e-06,1.0699762086065698e-05,-9.439762086065698e-06
0.002856,1.2e-06,1.0780222011156053e-05,-9.580222011156053e-06
0.0028562,1.14e-06,1.0870148459642657e-05,-9.730148459642657e-06
0.0028564,1.14e-06,1.096734117636474e-05,-9.82734117636474e-06
0.0028566,1.08e-06,1.106912009358057e-05,-9.98912009358057e-06
0.0028568,1.02e-06,1.117247995535265e-05,-1.015247995535265e-05
0.002857,1.02e-06,1.1274299314740659e-05,-1.0254299314740658e-05
0.0028572,9.6e-07,1.1371569969859508e-05,-1.0411569969859508e-05
0.0028574,9.6e-07,1.1461606472812966e-05,-1.0501606472812967e-05
0.0028576,9.00000000000001e-07,1.1542201618986938e-05,-1.0642201618986937e-05
0.0028578,9.00000000000001e-07,1.1611709814695832e-05,-1.071170981469583e-05
0.002858,1.02e-06,1.166905885072314e-05,-1.0649058850723139e-05
0.0028582,1.2e-06,1.171370496056353e-05,-1.051370496056353e-05
0.0028584,1.2e-06,1.1745552672986542e-05,-1.0545552672986542e-05
0.0028586,1.2e-06,1.1764860400297739e-05,-1.0564860400297739e-05
0.0028588,1.38e-06,1.1772147760125023e-05,-1.0392147760125023e-05
0.002859,1.44e-06,1.1768114371299481e-05,-1.0328114371299481e-05
0.0028592,1.56e-06,1.1753574376194966e-05,-1.0193574376194966e-05
0.0028594,1.68e-06,1.1729407099924547e-05,-1.0049407099924546e-05
0.0028596,1.74e-06,1.1696522077852671e-05,-9.95652207785267e-06
0.0028598,1.86e-06,1.165583577686489e-05,-9.795835776864891e-06
0.00286,1.86e-06,1.1608257233817847e-05,-9.748257233817846e-06
0.0028602,1.92e-06,1.1554680150369981e-05,-9.634680150369981e-06
0.0028604,1.98e-06,1.1495979457169991e-05,-9.515979457169991e-06
0.0028606,1.98e-06,1.143301084376656e-05,-9.453010843766561e-06
0.0028608,2.1e-06,1.1366612173294506e-05,-9.266612173294506e-06
0.002861,2.1e-06,1.12976060394971e-05,-9.1976060394971e-06
0.0028612,2.1e-06,1.122680297898125e-05,-9.12680297898125e-06
0.0028614,2.1e-06,1.1155005034737166e-05,-9.055005034737166e-06
0.0028616,2.1e-06,1.1083009492371989e-05,-8.983009492371988e-06
0.0028618,2.1e-06,1.1011612688391485e-05,-8.911612688391485e-06
0.002862,2.04e-06,1.0941613830968035e-05,-8.901613830968034e-06
0.0028622,2.04e-06,1.0873818781037485e-05,-8.833818781037486e-06
0.0028624,1.92e-06,1.0809043718133037e-05,-8.889043718133037e-06
0.0028626,1.92e-06,1.0748118555967736e-05,-8.828118555967736e-06
0.0028628,1.8e-06,1.0691889872679048e-05,-8.891889872679049e-06
0.002863,1.8e-06,1.064122296755701e-05,-8.84122296755701e-06
0.0028632,1.74e-06,1.059700243863156e-05,-8.85700243863156e-06
0.0028634,1.74e-06,1.0560130378803559e-05,-8.820130378803558e-06
0.0028636,1.56e-06,1.0531520906696947e-05,-8.971520906696947e-06
0.0028638,1.62e-06,1.0512089289675807e-05,-8.892089289675807e-06
0.002864,1.56e-06,1.0502733425312103e-05,-8.942733425312102e-06
0.0028642,1.44e-06,1.0504305028267154e-05,-9.064305028267154e-06
