Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
-0.002515,7.5e-07,8.224808295573409e-07,-7.248082955734086e-08,7.436351404772553e-07
-0.0025148,6.2e-07,8.219205995120301e-07,-2.0192059951203015e-07,8.15524716002593e-07
-0.0025146,6.9e-07,8.213603694667177e-07,-1.3136036946671774e-07,8.871377923295765e-07
-0.0025144,9.2e-07,8.208001394214053e-07,9.919986057859472e-08,9.566782558833134e-07
-0.0025142,9.3e-07,8.202399093760928e-07,1.0976009062390716e-07,1.0224015723534081e-06
-0.002514,1.09e-06,8.196796793307821e-07,2.7032032066921786e-07,1.0826582014235162e-06
-0.0025138,9.9e-07,8.191194492854696e-07,1.708805507145304e-07,1.1359346474018324e-06
-0.0025136,1.06e-06,8.185592192401572e-07,2.414407807598428e-07,1.1808911242907248e-06
-0.0025134,1.19e-06,8.179989891948448e-07,3.720010108051553e-07,1.21639489783948e-06
-0.0025132,1.26e-06,8.17438759149534e-07,4.42561240850466e-07,1.2415484749111762e-06
-0.002513,1.15e-06,8.168785291042216e-07,3.331214708957784e-07,1.2557119386049721e-06
-0.0025128,1.27e-06,8.163182990589091e-07,4.5368170094109076e-07,1.2585188733051835e-06
-0.0025126,1.3e-06,8.157580690135967e-07,4.842419309864033e-07,1.2498854833444183e-06
-0.0025124,1.23e-06,8.15197838968286e-07,4.148021610317141e-07,1.2300126783503656e-06
-0.0025122,1.21e-06,8.146376089229735e-07,3.9536239107702653e-07,1.1993810733927196e-06
-0.002512,1.2e-06,8.140773788776611e-07,3.8592262112233886e-07,1.1587390283280238e-06
-0.0025118,1.14e-06,8.135171488323487e-07,3.2648285116765145e-07,1.109084024032231e-06
-0.0025116,9.8e-07,8.129569187870379e-07,1.6704308121296203e-07,1.0516378389702246e-06
-0.0025114,8.5e-07,8.123966887417255e-07,3.7603311258274546e-08,9.878161438697858e-07
-0.0025112,9e-07,8.11836458696413e-07,8.816354130358693e-08,9.191932711693732e-07
-0.002511,7.6e-07,8.112762286511023e-07,-5.127622865110226e-08,8.47463035984795e-07
-0.0025108,7e-07,8.107159986057898e-07,-1.1071599860578988e-07,7.743965836486171e-07
-0.0025106,6.4e-07,8.101557685604774e-07,-1.701557685604774e-07,7.017983127348459e-07
-0.0025104,6.6e-07,8.09595538515165e-07,-1.4959553851516494e-07,6.314609706046628e-07
-0.0025102,4.8e-07,8.090353084698542e-07,-3.2903530846985427e-07,5.651210388732405e-07
-0.00251,4.3e-07,8.084750784245418e-07,-3.784750784245418e-07,5.044155191191224e-07
-0.0025098,5e-07,8.079148483792294e-07,-3.079148483792294e-07,4.508411942657914e-07
-0.0025096,4e-07,8.073546183339178e-07,-4.073546183339178e-07,4.057173794615606e-07
-0.0025094,3.8e-07,8.067943882886062e-07,-4.2679438828860616e-07,3.701530894411394e-07
-0.0025092,3.5e-07,8.062341582432937e-07,-4.5623415824329375e-07,3.4501943946332975e-07
-0.002509,3.6e-07,8.056739281979821e-07,-4.4567392819798215e-07,3.3092796661246956e-07
-0.0025088,3.2e-07,8.051136981526697e-07,-4.851136981526697e-07,3.282154110263642e-07
-0.0025086,3.6e-07,8.045534681073581e-07,-4.445534681073581e-07,3.36935335738627e-07
-0.0025084,3.4e-07,8.039932380620457e-07,-4.639932380620457e-07,3.5685679369929314e-07
-0.0025082,3.6e-07,8.034330080167341e-07,-4.434330080167341e-07,3.874700751542006e-07
-0.002508,3.8e-07,8.028727779714216e-07,-4.2287277797142163e-07,4.27999392341673e-07
-0.0025078,5e-07,8.023125479261101e-07,-3.023125479261101e-07,4.774221858455064e-07
-0.0025076,6.9e-07,8.017523178807985e-07,-1.117523178807985e-07,5.344945721126e-07
-0.0025074,3.8e-07,8.01192087835486e-07,-4.21192087835486e-07,5.97782298910328e-07
-0.0025072,6.4e-07,8.006318577901736e-07,-1.6063185779017357e-07,6.656964383067073e-07
-0.002507,6.2e-07,8.000716277448628e-07,-1.8007162774486285e-07,7.365329288979258e-07
-0.0025068,7.6e-07,7.995113976995504e-07,-3.9511397699550376e-08,8.085149832821991e-07
-0.0025066,7.9e-07,7.98951167654238e-07,-8.951167654238013e-09,8.798373054388263e-07
-0.0025064,8.7e-07,7.983909376089272e-07,7.160906239107281e-08,9.487110175225413e-07
-0.0025062,8.6e-07,7.978307075636148e-07,6.216929243638524e-08,1.0134081780742515e-06
-0.002506,1.07e-06,7.972704775183023e-07,2.7272952248169757e-07,1.0723047838134544e-06
-0.0025058,1.09e-06,7.967102474729899e-07,2.9328975252701003e-07,1.1239211847748799e-06
-0.0025056,1.11e-06,7.961500174276792e-07,3.138499825723208e-07,1.1669589070330554e-06
-0.0025054,1.22e-06,7.955897873823667e-07,4.2441021261763324e-07,1.200332966688078e-06
-0.0025052,1.26e-06,7.950295573370543e-07,4.649704426629457e-07,1.2231988709239144e-06
-0.002505,1.26e-06,7.944693272917419e-07,4.6553067270825816e-07,1.2349736341414434e-06
-0.0025048,1.31e-06,7.939090972464311e-07,5.160909027535688e-07,1.2353502862122823e-06
-0.0025046,1.15e-06,7.933488672011187e-07,3.5665113279888133e-07,1.2243055117765628e-06
-0.0025044,1.08e-06,7.927886371558062e-07,2.872113628441938e-07,1.202100230467411e-06
-0.0025042,1.09e-06,7.922284071104938e-07,2.9777159288950615e-07,1.1692731036379114e-06
-0.002504,1.19e-06,7.91668177065183e-07,3.98331822934817e-07,1.126627129163302e-06
-0.0025038,8.8e-07,7.911079470198706e-07,8.889205298012943e-08,1.0752096579559166e-06
-0.0025036,7.8e-07,7.905477169745582e-07,-1.0547716974558123e-08,1.0162863294410289e-06
-0.0025034,1.03e-06,7.899874869292457e-07,2.4001251307075436e-07,9.513095747162968e-07
-0.0025032,7.2e-07,7.89427256883935e-07,-6.9427256883935e-08,8.818824711731016e-07
-0.002503,7.5e-07,7.888670268386226e-07,-3.8867026838622534e-08,8.097188481195078e-07
-0.0025028,6.8e-07,7.883067967933101e-07,-1.0830679679331017e-07,7.366006362177018e-07
-0.0025026,7.1e-07,7.877465667479977e-07,-7.77465667479977e-08,6.643335221429143e-07
