Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
0.00285,1.32e-06,1.5409485411646799e-06,-2.209485411646798e-07,1.8179939558256157e-06
0.0028502,1.38e-06,1.541607741011998e-06,-1.616077410119981e-07,1.8781480738165443e-06
0.0028504,1.5e-06,1.5422669408593145e-06,-4.226694085931443e-08,1.9321884237567324e-06
0.0028506,1.68e-06,1.5429261407066326e-06,1.370738592933674e-07,1.979181685552747e-06
0.0028508,1.8e-06,1.543585340553949e-06,2.5641465944605085e-07,2.0183177509533293e-06
0.002851,1.86e-06,1.5442445404012655e-06,3.1575545959873446e-07,2.048923887522217e-06
0.0028512,1.86e-06,1.5449037402485837e-06,3.150962597514163e-07,2.0704765007353946e-06
0.0028514,1.86e-06,1.5455629400959018e-06,3.1443705990409817e-07,2.0826102885753956e-06
0.0028516,1.8e-06,1.5462221399432183e-06,2.5377786005678165e-07,2.0851246284716294e-06
0.0028518,1.92e-06,1.5468813397905347e-06,3.731186602094651e-07,2.0779870850132284e-06
0.002852,2.04e-06,1.5475405396378529e-06,4.924594603621471e-07,2.0613339770539085e-06
0.0028522,1.98e-06,1.548199739485171e-06,4.318002605148291e-07,2.035467994297638e-06
0.0028524,2.04e-06,1.5488589393324875e-06,4.911410606675125e-07,2.000852905051242e-06
0.0028526,2.04e-06,1.549518139179804e-06,4.90481860820196e-07,1.9581054476585896e-06
0.0028528,2.04e-06,1.550177339027122e-06,4.898226609728779e-07,1.907984547426435e-06
0.002853,2.04e-06,1.5508365388744402e-06,4.891634611255597e-07,1.8513780474650531e-06
0.0028532,1.92e-06,1.5514957387217584e-06,3.685042612782415e-07,1.7892871856235543e-06
0.0028534,1.86e-06,1.5521549385690731e-06,3.0784506143092687e-07,1.7228090887378358e-06
0.0028536,1.8e-06,1.5528141384163913e-06,2.4718586158360866e-07,1.653117590416789e-06
0.0028538,1.74e-06,1.5534733382637094e-06,1.8652666173629067e-07,1.5814427076020922e-06
0.002854,1.74e-06,1.5541325381110275e-06,1.8586746188897252e-07,1.5090491348876838e-06
0.0028542,1.86e-06,1.554791737958344e-06,3.05208262041656e-07,1.4372141324962817e-06
0.0028544,1.56e-06,1.5554509378056604e-06,4.549062194339649e-09,1.3672051945646644e-06
