dataset_id,n_points,simple_mean,rms,median,trimmed_mean,period_aware_mean,estimated_period,n_complete_periods,envelope_mean,simple_fit_r2,simple_fit_residual_std,rms_fit_r2,rms_fit_residual_std,rms_vs_simple_diff_pct,median_vs_simple_diff_pct,period_vs_simple_diff_pct
317,151,1.3231788079470198e-05,1.338698092469492e-05,1.3e-05,1.3134710743801654e-05,1.3315384615384614e-05,39,3,1.3386200032878803e-05,,,,,1.172878860306965,-1.751751751751752,0.6317856317856286
346,151,2.3730132450331127e-05,2.3971794615466164e-05,2.425e-05,2.3805785123966945e-05,2.3685416666666665e-05,40,3,2.397566967248868e-05,,,,,1.018376806959899,2.1907486220609727,-0.1884346147584935
435,151,1.4019867549668874e-05,1.4199209473378233e-05,1.425e-05,1.4043388429752068e-05,1.4179166666666668e-05,40,3,1.4201601412136319e-05,,,,,1.2791984166326476,1.6414737836561233,1.1362383876554971
338,151,5.282119205298014e-06,5.521241342330989e-06,5.4e-06,5.32892561983471e-06,5.278333333333333e-06,40,3,5.534058276533419e-06,,,,,4.527011370609232,2.2316950852557516,-0.07167335339352883
337,151,3.894039735099338e-06,3.993023717760267e-06,3.9e-06,3.871074380165289e-06,3.8991452991453e-06,39,3,3.993857380373779e-06,,,,,2.5419356091497223,0.15306122448979706,0.1311122739694362
439,151,5.547682119205298e-06,5.77208973141874e-06,5.7e-06,5.580165289256199e-06,5.565811965811965e-06,39,3,5.782106698296217e-06,,,,,4.045069767724694,2.745612987943167,0.3268003864876101
336,151,1.353046357615894e-05,1.3662863574653838e-05,1.39e-05,1.3605785123966941e-05,1.3634126984126983e-05,42,3,1.3665829501367641e-05,,,,,0.9785326108721816,2.731143850031822,0.7661482356798238
352,151,2.4236754966887417e-05,2.4478222176603272e-05,2.475e-05,2.424380165289256e-05,2.4184121621621622e-05,37,4,2.4480651684479576e-05,,,,,0.9962852289662973,2.1176309857230633,-0.21716333452107506
335,151,5.552980132450331e-06,5.777766244965e-06,5.8e-06,5.598347107438017e-06,5.620512820512821e-06,39,3,5.7882497586837625e-06,,,,,4.0480265938837166,4.448419797257008,1.2161521642738142
341,151,4.352317880794702e-06,4.495663841690507e-06,4.5e-06,4.3644628099173566e-06,4.345299145299144e-06,39,3,4.5005367218054835e-06,,,,,3.2935544880198635,3.393183201460748,-0.1612643122077261
